"Date (00:00 UTC,Coingecko)",Relative to the ETH Price at Launch,ETH price,TEC price (USD),Market Cap (USD),Token Supply (TEC),TEC price (ETH),Notes
11/7/2021,52.15%,"$4,527.10",$0.75,"$1,494,553",-,0.00016567,
11/8/2021,51.03%,"$4,626.63",$0.75,"$1,494,553",-,0.00016211,
11/9/2021,49.03%,"$4,815.00",$0.75,"$1,494,553",-,0.00015576,
11/10/2021,49.79%,"$4,742.08",$0.75,"$1,494,553",-,0.00015816,
11/11/2021,50.86%,"$4,641.53",$0.75,"$1,494,553",-,0.00016158,
11/12/2021,49.88%,"$4,732.92",$0.75,"$1,494,553",-,0.00015846,
11/13/2021,50.39%,"$4,685.11",$0.75,"$1,494,553",-,0.00016008,
11/14/2021,50.59%,"$4,666.50",$0.75,"$1,494,553",-,0.00016072,
11/15/2021,50.74%,"$4,652.95",$0.75,"$1,494,553",-,0.00016119,
11/16/2021,51.51%,"$4,583.21",$0.75,"$1,494,553",-,0.00016364,
11/17/2021,55.64%,"$4,243.35",$0.75,"$1,494,553",-,0.00017675,
11/18/2021,54.87%,"$4,302.80",$0.75,"$1,494,553",-,0.00017430,
11/19/2021,59.11%,"$3,993.85",$0.75,"$1,494,553",-,0.00018779,
11/20/2021,54.68%,"$4,317.60",$0.75,"$1,494,553",-,0.00017371,
11/21/2021,53.22%,"$4,436.19",$0.75,"$1,494,553",-,0.00016906,
11/22/2021,54.66%,"$4,319.36",$0.75,"$1,494,553",-,0.00017364,
11/23/2021,57.57%,"$4,101.06",$0.75,"$1,494,553",-,0.00018288,
11/24/2021,54.21%,"$4,355.42",$0.75,"$1,494,553",-,0.00017220,
11/25/2021,55.30%,"$4,269.44",$0.75,"$1,494,553",-,0.00017567,
11/26/2021,52.28%,"$4,515.84",$0.75,"$1,494,553",-,0.00016608,
11/27/2021,58.32%,"$4,048.31",$0.75,"$1,494,553",-,0.00018526,
11/28/2021,57.81%,"$4,084.09",$0.75,"$1,494,553",-,0.00018364,
11/29/2021,55.03%,"$4,290.09",$0.75,"$1,494,553",-,0.00017482,
11/30/2021,53.12%,"$4,444.53",$0.75,"$1,494,553",-,0.00016875,
12/1/2021,50.91%,"$4,637.12",$0.75,"$1,494,553",-,0.00016174,
12/2/2021,51.44%,"$4,589.61",$0.75,"$1,494,553",-,0.00016341,
12/3/2021,52.24%,"$4,519.44",$0.75,"$1,494,553",-,0.00016595,
12/4/2021,55.68%,"$4,240.16",$0.75,"$1,494,553",-,0.00017688,
12/5/2021,57.56%,"$4,101.66",$0.75,"$1,494,553",-,0.00018285,
12/6/2021,56.23%,"$4,198.57",$0.75,"$1,494,553",-,0.00017863,
12/7/2021,54.30%,"$4,347.62",$0.75,"$1,494,553",-,0.00017251,
12/8/2021,54.77%,"$4,310.57",$0.75,"$1,494,553",-,0.00017399,
12/9/2021,53.27%,"$4,431.54",$0.75,"$1,494,553",-,0.00016924,
12/10/2021,56.84%,"$4,153.33",$0.75,"$1,494,553",-,0.00018058,
12/11/2021,60.25%,"$3,918.20",$0.75,"$1,494,553",-,0.00019141,
12/12/2021,57.87%,"$4,079.81",$0.75,"$1,494,553",-,0.00018383,
12/13/2021,57.08%,"$4,135.84",$0.75,"$1,494,553",-,0.00018134,
12/14/2021,62.41%,"$3,782.90",$0.75,"$1,494,553",-,0.00019826,
12/15/2021,61.19%,"$3,858.16",$0.75,"$1,494,553",-,0.00019439,
12/16/2021,58.79%,"$4,015.72",$0.75,"$1,494,553",-,0.00018677,
12/17/2021,59.44%,"$3,971.56",$0.75,"$1,494,553",-,0.00018884,
12/18/2021,60.74%,"$3,886.75",$0.75,"$1,494,553",-,0.00019296,
12/19/2021,59.52%,"$3,966.43",$0.75,"$1,494,553",-,0.00018909,
12/20/2021,60.09%,"$3,928.84",$0.75,"$1,494,553",-,0.00019090,
12/21/2021,59.76%,"$3,950.48",$0.75,"$1,494,553",-,0.00018985,
12/22/2021,58.49%,"$4,036.55",$0.75,"$1,494,553",-,0.00018580,
12/23/2021,59.13%,"$3,992.59",$0.75,"$1,494,553",-,0.00018785,
12/24/2021,57.39%,"$4,113.53",$0.75,"$1,494,553",-,0.00018233,
12/25/2021,58.22%,"$4,055.12",$0.75,"$1,494,553",-,0.00018495,
12/26/2021,57.43%,"$4,110.57",$0.75,"$1,494,553",-,0.00018246,
12/27/2021,57.94%,"$4,075.03",$0.75,"$1,494,553",-,0.00018405,
12/28/2021,58.36%,"$4,045.05",$0.75,"$1,494,553",-,0.00018541,
12/29/2021,62.01%,"$3,807.36",$0.75,"$1,494,553",-,0.00019699,
